dgp_code,n_train,rho_eps,x,n_seed,core_vs_oracle_mean,core_vs_oracle_std,tabpfn_naive_vs_oracle_mean,tabpfn_naive_vs_oracle_std,independence_vs_oracle_mean,independence_vs_oracle_std,div_vs_oracle_mean,div_vs_oracle_std,tabpfn_real_vs_oracle_mean,tabpfn_real_vs_oracle_std,tabicl_vs_oracle_mean,tabicl_vs_oracle_std
DGP3_PRE_ADDITIVE,2000,0.6,1.75,10,0.272065871516178,0.0477960404634272,0.2854752356625986,0.05528594889779577,0.40101180248689505,0.042828791955576526,0.5605930131028625,0.036306629862100676,0.2644475746582828,0.049440999679316346,0.34791678776542456,0.060547674697210285
DGP3_PRE_ADDITIVE,2000,0.6,2.0,10,0.27635994898219274,0.05150611305231038,0.2886808218399603,0.04111653744472795,0.4124951241111722,0.03755789773845429,0.5611348498066386,0.034297102189573894,0.2678809152777063,0.04533526700891262,0.3547767135653108,0.034180917074224625
DGP3_PRE_ADDITIVE,2000,0.6,2.25,10,0.2727994381839086,0.03323234247570197,0.3313658866497687,0.07447883784352656,0.4481706477429214,0.024664783212456846,0.550845462420411,0.02633170174179573,0.274676635523206,0.03712973645388474,0.3600918732066516,0.03753297225240623
DGP3_PRE_ADDITIVE,2000,0.6,2.5,10,0.2804599896973974,0.03700284389079279,0.4782658440919795,0.08791203560466201,0.4898735119337336,0.027604622155388118,0.5396706056002193,0.02883022698894333,0.3094005223978221,0.05991108057806412,0.40213547241410746,0.043269397669252856
DGP3_PRE_ADDITIVE,2000,0.6,2.75,10,0.3049971913714584,0.04717790132920067,0.6697437017662278,0.10891319176553393,0.5388484291357294,0.030008964409899398,0.5436256375264599,0.02380109933492497,0.34380799475668744,0.07577497016748204,0.4533904985904466,0.05238960089368741
DGP3_PRE_ADDITIVE,2000,0.6,3.0,10,0.3253798814111646,0.04722908159476705,0.8747487339178521,0.10087830926545238,0.5726797497801971,0.03073480387706216,0.5292615916451294,0.018968539832785746,0.375445158806601,0.07525508908041223,0.4969882414484851,0.07282290658999042
DGP4_PIECEWISE,2000,0.6,0.0,10,0.11997431346003477,0.03993332225586856,0.44945726942702907,0.036591233054173944,0.29911959305733327,0.02252787106683192,0.1616670496203159,0.017057495108198976,0.10106604325102198,0.035839059937502006,0.14924202694877728,0.02360142008042247
DGP4_PIECEWISE,2000,0.6,0.25,10,0.09811823662497476,0.0432267282715977,0.38591497753904414,0.045346758076692195,0.28588073027770794,0.022859453102865038,0.16137945721581234,0.021808217546389477,0.108534286967596,0.04729219723943123,0.14099716848837637,0.01798446411315665
DGP4_PIECEWISE,2000,0.6,0.5,10,0.09100071001730699,0.037287021114441814,0.2743369475750419,0.04113786922619142,0.2790199853479976,0.01901889199100664,0.1468236051188504,0.017978358458671597,0.08582134056542742,0.04130618331318179,0.11487266161012259,0.02055010718048199
DGP4_PIECEWISE,2000,0.6,0.75,10,0.07982235504122678,0.03383880765070312,0.166277785502066,0.03587756418505591,0.26233441825736314,0.012958653513383045,0.14530873614223966,0.011092452645189923,0.07390628046876643,0.03174212043695382,0.10805512787436297,0.019940850192344286
DGP4_PIECEWISE,2000,0.6,1.0,10,0.0710427182838049,0.029718609545350234,0.10280856912749878,0.01564770552452085,0.241365781464533,0.012877312067041388,0.14207285916649898,0.012306363155001259,0.07243736157155335,0.029477701816431747,0.10134229948928579,0.016954408925327624
DGP4_PIECEWISE,2000,0.6,1.25,10,0.06905172188006116,0.02254426680637832,0.09704747306383568,0.020210167363259063,0.23220566717715596,0.017716822119450273,0.147996344441901,0.01781416529104346,0.07236611074460239,0.030285479730146836,0.09431898778145928,0.021747482021995963
